sequence,quest_id,project,chapter,kind,title,workspace,files,prompt,verification
108,ADA-P1-11-08,Project 1 — Dungeon Walk,Create the Map Grid,Refactor,Create the Map Grid — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb; data/maps/training.map,Refactor the chapter implementation so Constrained and unconstrained arrays is clearer without changing behavior.,"Tile lookup works at corners, edges, and interior cells for multiple map sizes."
109,ADA-P1-11-09,Project 1 — Dungeon Walk,Create the Map Grid,Integrate,Create the Map Grid — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb; data/maps/training.map,Integrate this chapter into the running final product so it works with earlier milestones: Represent rooms and corridors as a two-dimensional tile array with explicit row and column ranges.,"Tile lookup works at corners, edges, and interior cells for multiple map sizes."
110,ADA-P1-11-10,Project 1 — Dungeon Walk,Create the Map Grid,Review,Create the Map Grid — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb; data/maps/training.map,Perform a senior-style checkpoint review of Create the Map Grid in Dungeon Walk.,"Tile lookup works at corners, edges, and interior cells for multiple map sizes."
111,ADA-P1-12-01,Project 1 — Dungeon Walk,Protect Map Invariants,Question,Protect Map Invariants — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,"Answer one focused question before editing code: How should Private types, constructors, selectors, and invariants be used to accomplish this milestone: Wrap the raw grid in a Map type that guarantees solid outer walls and exactly one spawn point.",Invalid border edits and duplicate spawn points are rejected by the map API.
112,ADA-P1-12-02,Project 1 — Dungeon Walk,Protect Map Invariants,Code Reading,Protect Map Invariants — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,"Read the current implementation around src/maps.ads, src/maps.adb. Trace how data enters, changes, and leaves the code for this milestone: Wrap the raw grid in a Map type that guarantees solid outer walls and exactly one spawn point.",Invalid border edits and duplicate spawn points are rejected by the map API.
113,ADA-P1-12-03,Project 1 — Dungeon Walk,Protect Map Invariants,Predict,Protect Map Invariants — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,Predict the exact behavior if the implementation encounters this problem: Exposing the backing array and allowing invalid maps to be created anywhere.,Invalid border edits and duplicate spawn points are rejected by the map API.
114,ADA-P1-12-04,Project 1 — Dungeon Walk,Protect Map Invariants,Implement,Protect Map Invariants — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,Implement the core milestone in the existing dungeon_walk crate: Wrap the raw grid in a Map type that guarantees solid outer walls and exactly one spawn point.,Invalid border edits and duplicate spawn points are rejected by the map API.
115,ADA-P1-12-05,Project 1 — Dungeon Walk,Protect Map Invariants,Extend,Protect Map Invariants — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,Extend the completed milestone with this practical variation: Provide safe Set_Tile and Is_Walkable operations.,Invalid border edits and duplicate spawn points are rejected by the map API.
116,ADA-P1-12-06,Project 1 — Dungeon Walk,Protect Map Invariants,Test,Protect Map Invariants — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Wrap the raw grid in a Map type that guarantees solid outer walls and exactly one spawn point.,Invalid border edits and duplicate spawn points are rejected by the map API.
117,ADA-P1-12-07,Project 1 — Dungeon Walk,Protect Map Invariants,Repair,Protect Map Invariants — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,Reproduce and repair this defect class in the current project: Exposing the backing array and allowing invalid maps to be created anywhere.,Invalid border edits and duplicate spawn points are rejected by the map API.
118,ADA-P1-12-08,Project 1 — Dungeon Walk,Protect Map Invariants,Refactor,Protect Map Invariants — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,"Refactor the chapter implementation so Private types, constructors, selectors, and invariants is clearer without changing behavior.",Invalid border edits and duplicate spawn points are rejected by the map API.
119,ADA-P1-12-09,Project 1 — Dungeon Walk,Protect Map Invariants,Integrate,Protect Map Invariants — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,Integrate this chapter into the running final product so it works with earlier milestones: Wrap the raw grid in a Map type that guarantees solid outer walls and exactly one spawn point.,Invalid border edits and duplicate spawn points are rejected by the map API.
120,ADA-P1-12-10,Project 1 — Dungeon Walk,Protect Map Invariants,Review,Protect Map Invariants — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/maps.ads; src/maps.adb,Perform a senior-style checkpoint review of Protect Map Invariants in Dungeon Walk.,Invalid border edits and duplicate spawn points are rejected by the map API.
121,ADA-P1-13-01,Project 1 — Dungeon Walk,Parse Commands Reliably,Question,Parse Commands Reliably — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,"Answer one focused question before editing code: How should String slices, fixed strings, unbounded strings, and character handling be used to accomplish this milestone: Build a command parser that trims whitespace, normalizes case, and reports useful errors.",Mixed-case commands and malformed input produce deterministic results.
122,ADA-P1-13-02,Project 1 — Dungeon Walk,Parse Commands Reliably,Code Reading,Parse Commands Reliably — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,"Read the current implementation around src/command_parser.ads, src/command_parser.adb. Trace how data enters, changes, and leaves the code for this milestone: Build a command parser that trims whitespace, normalizes case, and reports useful errors.",Mixed-case commands and malformed input produce deterministic results.
123,ADA-P1-13-03,Project 1 — Dungeon Walk,Parse Commands Reliably,Predict,Parse Commands Reliably — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,Predict the exact behavior if the implementation encounters this problem: Assigning variable-length text into fixed-length strings or silently truncating input.,Mixed-case commands and malformed input produce deterministic results.
124,ADA-P1-13-04,Project 1 — Dungeon Walk,Parse Commands Reliably,Implement,Parse Commands Reliably — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,"Implement the core milestone in the existing dungeon_walk crate: Build a command parser that trims whitespace, normalizes case, and reports useful errors.",Mixed-case commands and malformed input produce deterministic results.
125,ADA-P1-13-05,Project 1 — Dungeon Walk,Parse Commands Reliably,Extend,Parse Commands Reliably — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,Extend the completed milestone with this practical variation: Support commands with arguments such as open north and save slot1.,Mixed-case commands and malformed input produce deterministic results.
126,ADA-P1-13-06,Project 1 — Dungeon Walk,Parse Commands Reliably,Test,Parse Commands Reliably — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Build a command parser that trims whitespace, normalizes case, and reports useful errors.",Mixed-case commands and malformed input produce deterministic results.
127,ADA-P1-13-07,Project 1 — Dungeon Walk,Parse Commands Reliably,Repair,Parse Commands Reliably — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,Reproduce and repair this defect class in the current project: Assigning variable-length text into fixed-length strings or silently truncating input.,Mixed-case commands and malformed input produce deterministic results.
128,ADA-P1-13-08,Project 1 — Dungeon Walk,Parse Commands Reliably,Refactor,Parse Commands Reliably — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,"Refactor the chapter implementation so String slices, fixed strings, unbounded strings, and character handling is clearer without changing behavior.",Mixed-case commands and malformed input produce deterministic results.
129,ADA-P1-13-09,Project 1 — Dungeon Walk,Parse Commands Reliably,Integrate,Parse Commands Reliably — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Build a command parser that trims whitespace, normalizes case, and reports useful errors.",Mixed-case commands and malformed input produce deterministic results.
130,ADA-P1-13-10,Project 1 — Dungeon Walk,Parse Commands Reliably,Review,Parse Commands Reliably — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/command_parser.ads; src/command_parser.adb,Perform a senior-style checkpoint review of Parse Commands Reliably in Dungeon Walk.,Mixed-case commands and malformed input produce deterministic results.
131,ADA-P1-14-01,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Question,Contain Errors at Boundaries — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,"Answer one focused question before editing code: How should Exception declarations, handlers, propagation, and cleanup be used to accomplish this milestone: Define domain-specific map and command errors while keeping the main loop alive after recoverable failures.",Bad commands and bad map files are reported without corrupting current state.
132,ADA-P1-14-02,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Code Reading,Contain Errors at Boundaries — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,"Read the current implementation around src/dungeon_errors.ads, src/game_loop.adb, src/map_files.adb. Trace how data enters, changes, and leaves the code for this milestone: Define domain-specific map and command errors while keeping the main loop alive after recoverable failures.",Bad commands and bad map files are reported without corrupting current state.
133,ADA-P1-14-03,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Predict,Contain Errors at Boundaries — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,Predict the exact behavior if the implementation encounters this problem: Catching others too early and hiding programming defects.,Bad commands and bad map files are reported without corrupting current state.
134,ADA-P1-14-04,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Implement,Contain Errors at Boundaries — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,Implement the core milestone in the existing dungeon_walk crate: Define domain-specific map and command errors while keeping the main loop alive after recoverable failures.,Bad commands and bad map files are reported without corrupting current state.
135,ADA-P1-14-05,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Extend,Contain Errors at Boundaries — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,Extend the completed milestone with this practical variation: Add a top-level crash report for unexpected exceptions.,Bad commands and bad map files are reported without corrupting current state.
136,ADA-P1-14-06,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Test,Contain Errors at Boundaries — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Define domain-specific map and command errors while keeping the main loop alive after recoverable failures.,Bad commands and bad map files are reported without corrupting current state.
137,ADA-P1-14-07,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Repair,Contain Errors at Boundaries — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,Reproduce and repair this defect class in the current project: Catching others too early and hiding programming defects.,Bad commands and bad map files are reported without corrupting current state.
138,ADA-P1-14-08,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Refactor,Contain Errors at Boundaries — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,"Refactor the chapter implementation so Exception declarations, handlers, propagation, and cleanup is clearer without changing behavior.",Bad commands and bad map files are reported without corrupting current state.
139,ADA-P1-14-09,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Integrate,Contain Errors at Boundaries — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,Integrate this chapter into the running final product so it works with earlier milestones: Define domain-specific map and command errors while keeping the main loop alive after recoverable failures.,Bad commands and bad map files are reported without corrupting current state.
140,ADA-P1-14-10,Project 1 — Dungeon Walk,Contain Errors at Boundaries,Review,Contain Errors at Boundaries — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_errors.ads; src/game_loop.adb; src/map_files.adb,Perform a senior-style checkpoint review of Contain Errors at Boundaries in Dungeon Walk.,Bad commands and bad map files are reported without corrupting current state.
141,ADA-P1-15-01,Project 1 — Dungeon Walk,Load Maps from Disk,Question,Load Maps from Disk — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,"Answer one focused question before editing code: How should Text file input/output and resource management be used to accomplish this milestone: Read a map file, preserve line structure, and close files correctly on success and failure.",Load-save-load produces the same logical map.
142,ADA-P1-15-02,Project 1 — Dungeon Walk,Load Maps from Disk,Code Reading,Load Maps from Disk — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,"Read the current implementation around src/map_files.ads, src/map_files.adb, data/maps/training.map. Trace how data enters, changes, and leaves the code for this milestone: Read a map file, preserve line structure, and close files correctly on success and failure.",Load-save-load produces the same logical map.
143,ADA-P1-15-03,Project 1 — Dungeon Walk,Load Maps from Disk,Predict,Load Maps from Disk — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,"Predict the exact behavior if the implementation encounters this problem: Leaked open files, inconsistent line widths, or assuming the working directory.",Load-save-load produces the same logical map.
144,ADA-P1-15-04,Project 1 — Dungeon Walk,Load Maps from Disk,Implement,Load Maps from Disk — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,"Implement the core milestone in the existing dungeon_walk crate: Read a map file, preserve line structure, and close files correctly on success and failure.",Load-save-load produces the same logical map.
145,ADA-P1-15-05,Project 1 — Dungeon Walk,Load Maps from Disk,Extend,Load Maps from Disk — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,Extend the completed milestone with this practical variation: Write the current map back to a new file with a canonical format.,Load-save-load produces the same logical map.
146,ADA-P1-15-06,Project 1 — Dungeon Walk,Load Maps from Disk,Test,Load Maps from Disk — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,"Create automated or repeatable tests that prove the milestone and its boundaries: Read a map file, preserve line structure, and close files correctly on success and failure.",Load-save-load produces the same logical map.
147,ADA-P1-15-07,Project 1 — Dungeon Walk,Load Maps from Disk,Repair,Load Maps from Disk — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,"Reproduce and repair this defect class in the current project: Leaked open files, inconsistent line widths, or assuming the working directory.",Load-save-load produces the same logical map.
148,ADA-P1-15-08,Project 1 — Dungeon Walk,Load Maps from Disk,Refactor,Load Maps from Disk — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,Refactor the chapter implementation so Text file input/output and resource management is clearer without changing behavior.,Load-save-load produces the same logical map.
149,ADA-P1-15-09,Project 1 — Dungeon Walk,Load Maps from Disk,Integrate,Load Maps from Disk — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,"Integrate this chapter into the running final product so it works with earlier milestones: Read a map file, preserve line structure, and close files correctly on success and failure.",Load-save-load produces the same logical map.
150,ADA-P1-15-10,Project 1 — Dungeon Walk,Load Maps from Disk,Review,Load Maps from Disk — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_files.ads; src/map_files.adb; data/maps/training.map,Perform a senior-style checkpoint review of Load Maps from Disk in Dungeon Walk.,Load-save-load produces the same logical map.
151,ADA-P1-16-01,Project 1 — Dungeon Walk,Validate the Map Format,Question,Validate the Map Format — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,"Answer one focused question before editing code: How should Parsing, validation passes, and error reporting be used to accomplish this milestone: Parse headers, dimensions, tiles, player spawn, doors, and comments into the Map model.",A suite of valid and invalid fixture maps produces precise results.
152,ADA-P1-16-02,Project 1 — Dungeon Walk,Validate the Map Format,Code Reading,Validate the Map Format — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,"Read the current implementation around src/map_parser.ads, src/map_parser.adb, tests/map_parser_tests.adb. Trace how data enters, changes, and leaves the code for this milestone: Parse headers, dimensions, tiles, player spawn, doors, and comments into the Map model.",A suite of valid and invalid fixture maps produces precise results.
153,ADA-P1-16-03,Project 1 — Dungeon Walk,Validate the Map Format,Predict,Validate the Map Format — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,Predict the exact behavior if the implementation encounters this problem: Mutating the active map before the entire new map has validated.,A suite of valid and invalid fixture maps produces precise results.
154,ADA-P1-16-04,Project 1 — Dungeon Walk,Validate the Map Format,Implement,Validate the Map Format — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,"Implement the core milestone in the existing dungeon_walk crate: Parse headers, dimensions, tiles, player spawn, doors, and comments into the Map model.",A suite of valid and invalid fixture maps produces precise results.
155,ADA-P1-16-05,Project 1 — Dungeon Walk,Validate the Map Format,Extend,Validate the Map Format — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,"Extend the completed milestone with this practical variation: Report filename, line, and column for malformed symbols.",A suite of valid and invalid fixture maps produces precise results.
156,ADA-P1-16-06,Project 1 — Dungeon Walk,Validate the Map Format,Test,Validate the Map Format — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Parse headers, dimensions, tiles, player spawn, doors, and comments into the Map model.",A suite of valid and invalid fixture maps produces precise results.
157,ADA-P1-16-07,Project 1 — Dungeon Walk,Validate the Map Format,Repair,Validate the Map Format — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,Reproduce and repair this defect class in the current project: Mutating the active map before the entire new map has validated.,A suite of valid and invalid fixture maps produces precise results.
158,ADA-P1-16-08,Project 1 — Dungeon Walk,Validate the Map Format,Refactor,Validate the Map Format — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,"Refactor the chapter implementation so Parsing, validation passes, and error reporting is clearer without changing behavior.",A suite of valid and invalid fixture maps produces precise results.
159,ADA-P1-16-09,Project 1 — Dungeon Walk,Validate the Map Format,Integrate,Validate the Map Format — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Parse headers, dimensions, tiles, player spawn, doors, and comments into the Map model.",A suite of valid and invalid fixture maps produces precise results.
160,ADA-P1-16-10,Project 1 — Dungeon Walk,Validate the Map Format,Review,Validate the Map Format — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/map_parser.ads; src/map_parser.adb; tests/map_parser_tests.adb,Perform a senior-style checkpoint review of Validate the Map Format in Dungeon Walk.,A suite of valid and invalid fixture maps produces precise results.
161,ADA-P1-17-01,Project 1 — Dungeon Walk,Add Vector Mathematics,Question,Add Vector Mathematics — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,"Answer one focused question before editing code: How should Floating-point types, vectors, operators, and numeric packages be used to accomplish this milestone: Introduce 2D vectors for player position, direction, and camera plane while preserving map coordinates.","Vector operations pass tests for zero, axes, normalization, and common angles."
162,ADA-P1-17-02,Project 1 — Dungeon Walk,Add Vector Mathematics,Code Reading,Add Vector Mathematics — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,"Read the current implementation around src/vectors.ads, src/vectors.adb, src/player.ads. Trace how data enters, changes, and leaves the code for this milestone: Introduce 2D vectors for player position, direction, and camera plane while preserving map coordinates.","Vector operations pass tests for zero, axes, normalization, and common angles."
163,ADA-P1-17-03,Project 1 — Dungeon Walk,Add Vector Mathematics,Predict,Add Vector Mathematics — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,Predict the exact behavior if the implementation encounters this problem: Mixing degrees and radians or converting between integer cells and floating positions carelessly.,"Vector operations pass tests for zero, axes, normalization, and common angles."
164,ADA-P1-17-04,Project 1 — Dungeon Walk,Add Vector Mathematics,Implement,Add Vector Mathematics — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,"Implement the core milestone in the existing dungeon_walk crate: Introduce 2D vectors for player position, direction, and camera plane while preserving map coordinates.","Vector operations pass tests for zero, axes, normalization, and common angles."
165,ADA-P1-17-05,Project 1 — Dungeon Walk,Add Vector Mathematics,Extend,Add Vector Mathematics — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,Extend the completed milestone with this practical variation: Overload only the vector operations that make game code clearer.,"Vector operations pass tests for zero, axes, normalization, and common angles."
166,ADA-P1-17-06,Project 1 — Dungeon Walk,Add Vector Mathematics,Test,Add Vector Mathematics — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,"Create automated or repeatable tests that prove the milestone and its boundaries: Introduce 2D vectors for player position, direction, and camera plane while preserving map coordinates.","Vector operations pass tests for zero, axes, normalization, and common angles."
167,ADA-P1-17-07,Project 1 — Dungeon Walk,Add Vector Mathematics,Repair,Add Vector Mathematics — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,Reproduce and repair this defect class in the current project: Mixing degrees and radians or converting between integer cells and floating positions carelessly.,"Vector operations pass tests for zero, axes, normalization, and common angles."
168,ADA-P1-17-08,Project 1 — Dungeon Walk,Add Vector Mathematics,Refactor,Add Vector Mathematics — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,"Refactor the chapter implementation so Floating-point types, vectors, operators, and numeric packages is clearer without changing behavior.","Vector operations pass tests for zero, axes, normalization, and common angles."
169,ADA-P1-17-09,Project 1 — Dungeon Walk,Add Vector Mathematics,Integrate,Add Vector Mathematics — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,"Integrate this chapter into the running final product so it works with earlier milestones: Introduce 2D vectors for player position, direction, and camera plane while preserving map coordinates.","Vector operations pass tests for zero, axes, normalization, and common angles."
170,ADA-P1-17-10,Project 1 — Dungeon Walk,Add Vector Mathematics,Review,Add Vector Mathematics — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/vectors.ads; src/vectors.adb; src/player.ads,Perform a senior-style checkpoint review of Add Vector Mathematics in Dungeon Walk.,"Vector operations pass tests for zero, axes, normalization, and common angles."
171,ADA-P1-18-01,Project 1 — Dungeon Walk,Turn the Camera,Question,Turn the Camera — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,"Answer one focused question before editing code: How should Ada.Numerics, trigonometry, modular angles, and precision be used to accomplish this milestone: Rotate direction and camera vectors using sine and cosine with a clearly documented angle unit.",Four quarter-turns return the camera to its original orientation within tolerance.
172,ADA-P1-18-02,Project 1 — Dungeon Walk,Turn the Camera,Code Reading,Turn the Camera — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,"Read the current implementation around src/dungeon_math.ads, src/player_actions.adb. Trace how data enters, changes, and leaves the code for this milestone: Rotate direction and camera vectors using sine and cosine with a clearly documented angle unit.",Four quarter-turns return the camera to its original orientation within tolerance.
173,ADA-P1-18-03,Project 1 — Dungeon Walk,Turn the Camera,Predict,Turn the Camera — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,Predict the exact behavior if the implementation encounters this problem: Feeding degrees into radian functions or allowing floating drift to distort direction vectors.,Four quarter-turns return the camera to its original orientation within tolerance.
174,ADA-P1-18-04,Project 1 — Dungeon Walk,Turn the Camera,Implement,Turn the Camera — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,Implement the core milestone in the existing dungeon_walk crate: Rotate direction and camera vectors using sine and cosine with a clearly documented angle unit.,Four quarter-turns return the camera to its original orientation within tolerance.
175,ADA-P1-18-05,Project 1 — Dungeon Walk,Turn the Camera,Extend,Turn the Camera — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,Extend the completed milestone with this practical variation: Add configurable turn speed and clamp or normalize accumulated angles.,Four quarter-turns return the camera to its original orientation within tolerance.
176,ADA-P1-18-06,Project 1 — Dungeon Walk,Turn the Camera,Test,Turn the Camera — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Rotate direction and camera vectors using sine and cosine with a clearly documented angle unit.,Four quarter-turns return the camera to its original orientation within tolerance.
177,ADA-P1-18-07,Project 1 — Dungeon Walk,Turn the Camera,Repair,Turn the Camera — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,Reproduce and repair this defect class in the current project: Feeding degrees into radian functions or allowing floating drift to distort direction vectors.,Four quarter-turns return the camera to its original orientation within tolerance.
178,ADA-P1-18-08,Project 1 — Dungeon Walk,Turn the Camera,Refactor,Turn the Camera — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,"Refactor the chapter implementation so Ada.Numerics, trigonometry, modular angles, and precision is clearer without changing behavior.",Four quarter-turns return the camera to its original orientation within tolerance.
179,ADA-P1-18-09,Project 1 — Dungeon Walk,Turn the Camera,Integrate,Turn the Camera — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,Integrate this chapter into the running final product so it works with earlier milestones: Rotate direction and camera vectors using sine and cosine with a clearly documented angle unit.,Four quarter-turns return the camera to its original orientation within tolerance.
180,ADA-P1-18-10,Project 1 — Dungeon Walk,Turn the Camera,Review,Turn the Camera — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/player_actions.adb,Perform a senior-style checkpoint review of Turn the Camera in Dungeon Walk.,Four quarter-turns return the camera to its original orientation within tolerance.
181,ADA-P1-19-01,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Question,Generate One Ray per Screen Column — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,"Answer one focused question before editing code: How should Interpolation, coordinate transforms, and functions over ranges be used to accomplish this milestone: Convert a screen column into a camera-space X coordinate and a world-space ray direction.","Left, center, and right columns generate expected ray directions."
182,ADA-P1-19-02,Project 1 — Dungeon Walk,Generate One Ray per Screen Column,Code Reading,Generate One Ray per Screen Column — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/raycast.ads; src/raycast.adb,"Read the current implementation around src/raycast.ads, src/raycast.adb. Trace how data enters, changes, and leaves the code for this milestone: Convert a screen column into a camera-space X coordinate and a world-space ray direction.","Left, center, and right columns generate expected ray directions."
